ID,Site group (Japanese),Site name (Japanese),Locality name (Japanese),Cultural layer,Site group,Site name ,Locality name,Adress (Japanese),North Latitude,East Longitude,Geodetic system,Altitude (Tokyo Peil),Knife shaped tool,Trapeze（Trapezoid）,Axe shaped tool,Tangged point on blade,Triangulared pointed tool,Lanceolate shaped point,Biface,Micro blade,Mikoshiba type axe shaped tool,Tangged point,End scraper/Scraper,Burin,Whetstone,Hammer stone,Anvil stone,Pebble tool,Others (Japanease),Earthenware from the Incipient Jomon,Lithic cluster,Pebble cluster,Charcoal fragment concentration,Other features,Remark,Citation,CitationID1,CitationID2,Citation ID3,Citation ID4,Citation ID5,CitationID6,Research type,Creation date,Created by,Update date,Updated by,Coordinate check
40010,,戸谷沢遺跡,,,,Toyasawa,,白石市大鷹沢三沢字戸谷沢,37.963579,140.67981,世界,210,,,○,,,,,,,,,,,,,,（局部磨製石斧）,,,,,,,白石市史編さん委員1976,B040019,,,,,,採集資料,20071031,鈴木　雅,変更なし,鈴木　雅,1
40011,,小菅遺跡,,,,Kosuge,,白石市大鷹沢三沢字小菅、出羽津堂,37.969167,140.67028,世界,160,,,○,,,,,,,,,,,,,,（局部磨製石斧）,,,,,,,白石市史編さん委員1976,B040019,,,,,,採集資料,20071031,鈴木　雅,変更なし,鈴木　雅,
40012,,高野遺跡,,,,Kouya,,白石市福岡深谷字高野,38.035833,140.62111,世界,80,,,,,,○,,,,,,,,,,,,,,,,,,白石市史編さん委員1976,B040019,,,,,,採集資料,20071031,鈴木　雅,変更なし,鈴木　雅,
40013,,長老沼北遺跡,,,,Chouronumakita,,刈田郡七ヶ宿町字柏木山,38.046111,140.48639,世界,720,,,,,,,,,,,○,,,,,,,,,,,,,七ヶ宿町史編纂委員会1984,B040018,,,,,,採集資料,20071031,鈴木　雅,変更なし,鈴木　雅,
40014,,持長地遺跡,,,,Mocchoji,,刈田郡蔵王町宮字持長地,38.059131,140.65332,世界,50,○,,,,,,,,,,,,,,,,,,,,,,,宮城県教育委員会1980,B040043,,,,,,発掘調査,20071031,鈴木　雅,20171126,鈴木　雅,1
40015,,前戸内遺跡,,,,Maetouchi,,刈田郡蔵王町小村崎字前戸内,38.126857,140.6844,世界,100,,,,,,○,,,,,,,,,,,,,,,,,,蔵王町史編さん委員会1987,B040012,,,,,,採集資料,20071031,鈴木　雅,20171126,鈴木　雅,1
40016,新川流域遺跡群,百々目木遺跡,,,Nikkawa-ryuiki,Dodomeki,,柴田郡村田町小泉字百々目木,38.115833,140.73944,世界,70,○,,,,,,,,,,,,,,,,石刃/剥片,,,,,,,大場正善2004,B040003,,,,,,採集資料,20071031,鈴木　雅,変更なし,鈴木　雅,
40017,新川流域遺跡群,一子沢遺跡,,,Nikkawa-ryuiki,Ichikozawa,,柴田郡村田町小泉字一子沢,38.117986,140.73851,世界,60,○,,,,,,○,,,,○,○,,,,,石刃核/石刃/剥片など,,,,,,,大場正善2004,B040003,,,,,,採集資料,20071031,鈴木　雅,20171126,鈴木　雅,1
40018,新川流域遺跡群,無刀関Ｂ遺跡,,,Nikkawa-ryuiki,Mutozeki B,,柴田郡村田町足立字無刀関,38.151389,140.74639,世界,190,,,,,,,,,,,,,,,,,剥片,,,,,,,大場正善2004,B040003,,,,,,採集資料,20071031,鈴木　雅,変更なし,鈴木　雅,
40019,新川流域遺跡群,山入Ａ遺跡,,,Nikkawa-ryuiki,Yamanoiri A,,柴田郡村田町小泉字山入,38.116667,140.73694,世界,65,,,,,,,,,,,○,○,,,,,石刃/剥片,,,,,,,東北歴史資料館1994/佐川正敏・大場正善2003,B040036,B040013,,,,,発掘調査,20071031,鈴木　雅,変更なし,鈴木　雅,
40020,新川流域遺跡群,賀篭沢遺跡,,,Nikkawa-ryuiki,Kagozawa,,柴田郡村田町小泉字賀篭沢,38.119458,140.74088,世界,100,○,,,,,,,,,,○,○,,○,,,石刃核/石刃/剥片など,,○,,,,玉髄原産地遺跡,東北歴史資料館1994/佐川正敏・大場正善2003/大場正善2004/東北学院大学佐川ゼミナール2004/佐川正敏ほか2005/佐川正敏ほか2006,B040036,B040013,B040003,B040032,B040014,B040015,発掘調査,20071031,鈴木　雅,20170925,小野章太郎,1
40021,新川流域遺跡群,一子沢Ａ遺跡,,,Nikkawa-ryuiki,Ichikozawa A,,柴田郡村田町小泉字一子沢,38.118889,140.74389,世界,100,,,,,,,,,,,,,,,,,有肩尖頭器/石刃/剥片など,,,,,,,東北歴史資料館1994,B040036,,,,,,採集資料,20071031,鈴木　雅,変更なし,鈴木　雅,
40022,新川流域遺跡群,寒風沢遺跡,,,Nikkawa-ryuiki,Kanpuzawa,,柴田郡村田町小泉字寒風沢,38.130556,140.74278,世界,130,,,,,,,,,,,,,,,,,剥片,,,,,,,大場正善2004,B040003,,,,,,採集資料,20071031,鈴木　雅,変更なし,鈴木　雅,
40023,新川流域遺跡群,日照田遺跡,,,Nikkawa-ryuiki,Hiderida,,柴田郡村田町小泉字日照田,38.141389,140.74583,世界,180,,,,,,,,,,,,,,,,,石刃核/剥片,,,,,,,大場正善2004,B040003,,,,,,採集資料,20071031,鈴木　雅,変更なし,鈴木　雅,
40024,,野田山遺跡,,,,Nodayama,,名取市愛島塩手字野田山,38.16593,140.86088,世界,35,○,,,,,,,,,,○,,,,,,石刃/剥片など,,○,,,,,名取市教育委員会2002,B040036,,,,,,発掘調査,20071031,鈴木　雅,20171126,鈴木　雅,1
40025,,西野田遺跡,,,,Nishinoda,,名取市愛島塩手字西野田、十石上、十石中、十石下,38.165914,140.85429,世界,30,○,,,,,,,,,,,,,,,,石刃,,,,,,,宮城県教育委員会1974,B040042,,,,,,発掘調査,20071031,鈴木　雅,20171126,鈴木　雅,1
40026,,北原遺跡,,,,Kitahara,,岩沼市長岡字北原、三色吉字杉の内,38.126441,140.84502,世界,20,,,,,,,,,,,,,,,,,石刃,,,,,,,,,,,,,,発掘調査,20071031,鈴木　雅,20171126,鈴木　雅,1
40027,,大窪遺跡,,,,Okubo,,大崎市古川小野字大窪,38.633611,141,世界,30,○,,,,,,,,,,,,,,,,,,,,,,,古川市史編さん委員会2006,B040041,,,,,,採集資料,20070917,佐久間光平,変更なし,小野章太郎,
40028,,名生館官衙遺跡,,,,Myoudate-kanga,,大崎市古川東大崎字名生館,38.613984,140.89179,世界,46,,,,,,,,○,,,○,○,,,,,剥片,,,,,,,宮城県多賀城跡調査研究所1983/宮城県教育委員会1999　,B040047,,,,,,発掘調査,20070917,佐久間光平,20171004,小野章太郎,1
40029,,新谷地遺跡,,,,Shinyachi,,大崎市古川小林字新谷地,38.621716,140.92848,世界,32,○,,,,,,,,,,,,,,,,,,,,,,,宮城県教育委員会1994,B040044,,,,,,発掘調査,20070917,佐久間光平,20170927,小野章太郎,1
40030,,北馬場壇遺跡,,,,Kitababadan,,大崎市古川清水字三丁目北馬場壇,38.627595,140.91789,世界,56,,,,,,,,,,,,,,,,,剥片,,,,,,,東北歴史資料館1985,B040035,,,,,,採集資料,20070917,佐久間光平,20180314,小野章太郎,1
40031,,向金沢遺跡,,,,Mukaikanezawa,,大崎市岩出山字轟,38.641448,140.86328,世界,90,,,,,,○,,,,,○,○,,,,,石刃/剥片,,,,,,,東北歴史資料館1985,B040035,,,,,,採集資料,20070922,佐久間光平,20170930,小野章太郎,1
40032,,上の窪遺跡,,,,Uenokubo,,大崎市岩出山字轟,38.645063,140.85429,世界,100,,,,,,○,,,,,,,,,,,,,,,,,,東北歴史資料館1985,B040035,,,,,,採集資料,20070922,佐久間光平,20170930,小野章太郎,1
40033,,城山Ａ遺跡,,,,Shiroyama A,,大崎市岩出山字城山,38.652517,140.86342,世界,60,,,,,,,,,,,,,,,,,石刃/剥片,,,,,,,興野義一・遠藤智一1970/東北歴史資料館1985,B040009,B040035,,,,,採集資料,20070922,佐久間光平,20170930,小野章太郎,1
40034,,一本松遺跡,,,,Ipponmatsu,,大崎市岩出山下野目字向山、新田,38.640835,140.91506,世界,52,,,,,,,,,,,,○,,,,,,,,,,,,東北歴史資料館1985,B040035,,,,,,採集資料,20070922,佐久間光平,20170930,小野章太郎,1
40035,,成田山遺跡,,,,Nandayama,,大崎市岩出山下野目字新田,38.639163,140.91273,世界,62,,,,,,,,,,,○,,,,,,二次加工ある剥片,,,,,,,東北歴史資料館1985,B040035,,,,,,採集資料,20070922,佐久間光平,20170928,小野章太郎,1
40036,,座散乱木遺跡,検証,,,Zazaragi,,大崎市岩出山下野目字座散乱木,38.641437,140.90147,世界,68,,,,,,,,,,,,,,,,,二次加工ある剥片/剥片,,,,,,検証発掘調査によって「後期旧石器ないし縄文時代草創期」,座散乱木遺跡発掘調査団2003/矢島國雄・佐川正敏2003,B040016,B040048,,,,,発掘調査,20070922,佐久間光平,20171004,小野章太郎,1
40037,,大山庵遺跡,,,,Daizan'an,,大崎市岩出山上野目字大久保、大平,38.658828,140.88781,世界,90,,,,,,,,,,,○,,,,,,,,,,,,,東北歴史資料館1985,B040035,,,,,,採集資料,20070922,佐久間光平,20170928,小野章太郎,1
40038,,木通沢遺跡,,,,Akebisawa,,大崎市岩出山字木通沢、曲田裏,38.652541,140.8356,世界,140,,,,,,,,,,,,,,,,,石刃/剥片,,,,,,,興野義一・遠藤智一1970/東北歴史資料館1985,B040009,B040035,,,,,採集資料,20070922,佐久間光平,20170930,小野章太郎,1
40039,,丸山遺跡,,,,Maruyama,,大崎市岩出山下野目字丸山、南山,38.626346,140.88056,世界,60,,,,,,,,,,,,,,,,○,,,,,,,,東北歴史資料館1985,B040035,,,,,,採集資料,20070922,佐久間光平,20170930,小野章太郎,1
40040,,九十九沢遺跡,,,,Tsukumozawa,,大崎市岩出山上野目字九十九沢,38.684996,140.87116,世界,125,,,,,,○,,,,,,,,,,,,,,,,,,東北歴史資料館1985,B040035,,,,,,採集資料,20070922,佐久間光平,20170928,小野章太郎,1
40041,,村山遺跡,,,,Murayama,,大崎市岩出山下野目字新田,38.643257,140.90282,世界,68,,,,,,,,,,,○,,,,,,剥片,,,,,,,東北歴史資料館1985,B040035,,,,,,採集資料,20070922,佐久間光平,20170928,小野章太郎,1
40042,,南沢古墳,,,,Minamizawa,,大崎市岩出山南沢字樋渡,38.618048,140.8824,世界,62,,,,,,,,,,,,○,,,,,石刃,,,,,,,興野義一・遠藤智一1970,B040009,,,,,,採集資料,20070922,佐久間光平,20180319,小野章太郎,1
40043,,西天王山遺跡,,,,Nishitennouyama,,大崎市岩出山上野目字西天王山,38.682746,140.87451,世界,120,,,,,,,,,,,,,,,,,剥片,,,,,,,東北歴史資料館1985,B040035,,,,,,採集資料,20070922,佐久間光平,20170928,小野章太郎,1
40044,,三太郎山遺跡,,,,Santaroyama,,大崎市岩出山上野目字土橋,38.673728,140.88859,世界,120,,,,,,,,,,,,,,,,,石刃,,,,,,,東北歴史資料館1985,B040035,,,,,,採集資料,20070922,佐久間光平,20180314,小野章太郎,1
40045,,芦の口遺跡,,,,Ashinokuchi,,大崎市岩出山上山里字上真山小倉,38.725402,140.86517,世界,190,○,,,,,,,,,,,,,,,,折断調整石器,,,,,,,東北歴史資料館1985,B040035,,,,,,採集資料,20070922,佐久間光平,20170928,小野章太郎,1
40046,,大森西遺跡,,,,Oomorinishi,,大崎市岩出山上山里字上真山大森,38.731169,140.84934,世界,210,,,,,,,,,,,,,,,,,剥片,,,,,,,東北歴史資料館1985,B040035,,,,,,採集資料,20070922,佐久間光平,20170928,小野章太郎,1
40047,,一本松Ｂ遺跡,,,,Ipponmatsu B,,大崎市岩出山下野目字向山,38.639635,140.91703,世界,56,,,○,,,○,,,,,○,,,,,,,,,,,,,東北歴史資料館1985,B040035,,,,,,採集資料,20070922,佐久間光平,20170930,小野章太郎,1
40048,,新堤上遺跡,,,,Shintsutsumiue,,大崎市岩出山上野目字北坂,38.656252,140.89121,世界,75,,,○,,,,,,,,,,,,,,,,,,,,,東北歴史資料館1985,B040035,,,,,,採集資料,20070922,佐久間光平,20170928,小野章太郎,1
40049,,大久保遺跡,,,,Okubo,,大崎市岩出山上野目字大平,38.655933,140.88814,世界,80,,,,,,,,,,,,,,,,,剥片,,,,,,,東北歴史資料館1985,B040035,,,,,,採集資料,20070922,佐久間光平,20170928,小野章太郎,1
40050,,袖山西遺跡,,,,Sodeyamanishi,,大崎市岩出山上山里字上真山袖山,38.689314,140.91485,世界,110,,,,,,○,,,,,,○,,,,,,,,,,,,,,,,,,,採集資料,20070922,佐久間光平,20180312,小野章太郎,1
40051,,畑山遺跡,,,,Hatayama,,大崎市鳴子名生定字畑山,38.727591,140.80103,世界,210,○,,,,,,,,,,,,,,,,,,,,,,,興野義一1959/鳴子町史編纂委員会1974,B040008,B040038,,,,,採集資料,20070930,佐久間光平,20180319,小野章太郎,1
40052,,三条遺跡,,,,Sanjo,,大崎市鳴子字末沢,38.755172,140.72722,世界,280,,,,,,,,,,,,,,,,,石刃,,,,,,,鳴子町史編纂委員会1974,B040038,,,,,,採集資料,20070930,佐久間光平,20180319,小野章太郎,1
40053,,上長根A遺跡,,,,Kaminagane A,,大崎市田尻大貫字上長根,38.606641,141.10915,世界,15,,,,,,○,,,,,,,,,,,,,,,,,,田尻町史編さん委員会1982,B040027,,,,,,採集資料,20070930,佐久間光平,20180319,小野章太郎,1
40054,薬莱山麓遺跡群,薬莱山No.8遺跡,,,Yakurai-sanroku,Yakuraisan No.8,,加美郡加美町字鹿原糸メ,38.56699,140.68397,世界,280,,,,,,,○,,,,,,,,,,石刃,,,,,,,小野田町教育委員会2000b,B040006,,,,,,発掘調査,20071110,村上裕次,20170708,小野章太郎,1
40055,薬莱山麓遺跡群,薬莱山No.16遺跡,,,Yakurai-sanroku,Yakuraisan No.16,,加美郡加美町字芋沢柏木平,38.57594,140.68865,世界,260,,,,,,,,,,,,,,,,,剥片,,,,,,,小野田町教育委員会2000b,B040006,,,,,,発掘調査,20071110,村上裕次,20180314,小野章太郎,1
40056,薬莱山麓遺跡群,薬莱山No.17遺跡,,,Yakurai-sanroku,Yakuraisan No.17,,加美郡加美町字芋沢柏木平,38.574183,140.68577,世界,265,,○,,,,,,,,,,,,,,,剥片/石核,,,,,,,小野田町教育委員会2000b,B040006,,,,,,発掘調査,20071110,村上裕次,20170927,小野章太郎,1
40057,薬莱山麓遺跡群,薬莱原No.15遺跡,,,Yakurai-sanroku,Yakuraihara No.15,,加美郡加美町字味ヶ袋薬莱原,38.57362,140.72089,世界,200,○,,,,,,,,,,,,,,,,石刃/剥片,,○,,,,旧石器時代遺跡として再登録。,加美町教育委員会2007・2014,B040007,B040052,,,,,発掘調査,20071110,村上裕次,20170708,小野章太郎,1
40058,薬莱山麓遺跡群,薬莱原No.20遺跡,,,Yakurai-sanroku,Yakuraihara No.20,,加美郡加美町字味ヶ袋薬莱原,38.572405,140.73007,世界,160,,,,,,,,,,,○,,,,,,剥片/石核,,,,,,,小野田町教育委員会2000a,B040005,,,,,,発掘調査,20071110,村上裕次,20170314,小野章太郎,1
40059,,下台野遺跡,,,,Shimodaino,,加美郡加美町字鹿原下台野,38.560512,140.67937,世界,300,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,採集資料,20071110,村上裕次,20180312,小野章太郎,1
40060,薬莱山麓遺跡群,薬莱山No.32遺跡,,,Yakurai-sanroku,Yakuraisan No.32,,加美郡加美町字芋沢柏木平,38.579351,140.68307,世界,280,,,,,,,,,,,,,,,,,剥片,,,,,,,小野田町教育委員会2000b,B040006,,,,,,発掘調査,20071110,村上裕次,20180314,小野章太郎,1
40061,薬莱山麓遺跡群,薬莱山No.34遺跡,,,Yakurai-sanroku,Yakuraisan No.34,,加美郡加美町字芋沢柏木平,38.574722,140.68278,世界,270,,,,,,,,,,,,,,,,,石刃,,,,,,,小野田町教育委員会2000b,B040006,,,,,,発掘調査,20071110,村上裕次,変更なし,小野章太郎,
40062,薬莱山麓遺跡群,薬莱山No.35遺跡,,,Yakurai-sanroku,Yakuraisan No.35,,加美郡加美町字芋沢柏木平,38.571553,140.6834,世界,279,,,,,,,,,,,,,,,,,箆状石器/剥片,,,,,,,小野田町教育委員会2000b,B040006,,,,,,発掘調査,20071110,村上裕次,20180314,小野章太郎,1
40063,,東山官衙遺跡,,,,Higashiyama-kanga,,加美郡加美町鳥嶋字東山,38.598928,140.80286,世界,80,○,,,,,,,,,,,,,,,,,,,,,,,宮城県多賀城跡調査研究所1993/佐久間光平2010,B040065,B040066,,,,,発掘調査,20071110,村上裕次,20180314,小野章太郎,1
40064,,前平遺跡,,,,Maedaira,,加美郡加美町宮崎字南,38.616769,140.70446,世界,115,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,採集資料,20071110,村上裕次,20180312,小野章太郎,1
40065,,砂坂遺跡,,,,Sunasaka,,加美郡加美町柳沢字砂坂,38.633164,140.77154,世界,180,,,,,,,,,,,,,,,,,剥片,,,,,,,鹿又喜隆ほか2017,B040050,,,,,,採集資料,20071110,村上裕次,20170926,小野章太郎,1
40066,,大原Ａ遺跡,,,,Oohara A,,加美郡色麻町四竈字大原,38.515896,140.83999,世界,79,,,,,,,,,,○,○,,,,,,剥片,土器片,,,,,,色麻町教育委員会2001,B040017,,,,,,発掘調査,20071201,佐久間光平,20180314,小野章太郎,1
40067,,要害遺跡,,,,Yougai,,加美郡色麻町一の関字要害,38.536111,140.86028,世界,30,,,,,,○,,,,,,,,,,,石刃/剥片,,,,,,,,,,,,,,採集資料,20071110,村上裕次,変更なし,小野章太郎,
40068,,伊治城跡,29次,,,Ijijo,,栗原市築館字城生野地蔵堂,38.762912,141.03903,世界,25,○,,○,,,,,,,,,,,,,○,剥片/石核ほか,,○,,,,多数の接合資料あり。,築館町教育委員会2004,B040031,,,,,,発掘調査,20070930,佐久間光平,20180316,小野章太郎,1
40069,,佐野原遺跡,,,,Sanohara,,栗原市一迫字下小僧,38.753493,140.87281,世界,160,,,,,,,,,○,,,,,,,,,,,,,,,一迫町史編纂委員会1976/鈴木隆・大場亜弥・須藤隆2004　,B040001,B040020,,,,,採集資料,20070930,佐久間光平,20170925,小野章太郎,1
40070,,中山遺跡,,,,Nakayama,,栗原市一迫柳ノ目字中山,38.693433,140.9849,世界,70,,,,,,,,,,,,,,,,,石刃/剥片,,,,,,,,,,,,,,採集資料,20070930,佐久間光平,20180312,小野章太郎,1
40071,,大久保遺跡,3区,,,Okubo,Loc3,栗原市一迫長崎字大久保,38.756823,140.88236,世界,150,,,,,,,,,,,,,,,,,二次加工ある剥片//剥片石核ほか,,○,,,,,大場亜弥2008/栗原市教育委員会2008 ,B040002,B040010,,,,,発掘調査,20090705,佐久間光平,20180314,小野章太郎,1
40072,,淀遺跡,,,,Yodo,,栗原市志波姫沼崎淀,38.756857,141.05754,世界,25,,,,,,,,,,,,,,,,,石刃/剥片,,,,,,,宮城県教育委員会2001,B040046,,,,,,発掘調査,20070930,佐久間光平,20180314,小野章太郎,1
40073,,原井田遺跡,,,,Haraida,,栗原市花山字草木沢合道山,38.771389,140.85722,世界,140,,,,,,,,,,,,,,,,,石核/剥片,,,,,,,花山村史編纂委員会1978,B040039,,,,,,採集資料,20070930,佐久間光平,変更なし,小野章太郎,
40074,,大穴山遺跡,,,,Ooanayama,,栗原市花山字草木沢大穴山,38.760111,140.86758,世界,170,,,,,,,,○,,,,,,,,,,,,,,,,花山村史編纂委員会1978,B040039,,,,,,採集資料,20070930,佐久間光平,20170925,小野章太郎,1
40075,,小田裏Ａ遺跡,,,,Kodaura A,,栗原市花山字草木沢小田裏,38.762268,140.82898,世界,170,,,,,,,,,,○,,,,,,,,,,,,,,花山村史編纂委員会1978/ 佐藤信行・村上裕次2010,B040039,,,,,,採集資料,20070930,佐久間光平,20180319,小野章太郎,1
40076,,堀切遺跡,,,,Horikiri,,栗原市花山字本沢沼山,38.823333,140.8325,世界,310,,,,,,○,,,,,,,,,,,,,,,,,,花山村史編纂委員会1978,B040039,,,,,,採集資料,20070930,佐久間光平,変更なし,小野章太郎,
40077,,鉄砲町遺跡,,,,Teppoumachi,,刈田郡蔵王町宮字鉄砲町,38.071597,140.65437,世界,66,,,,,,,,,,,,○,,,,,,,,,,,,蔵王町史編さん委員会1987/ 相原淳一2016,B040012,B040067,,,,,採集資料,20180319,小野章太郎,,,
40078,,蒲沢山遺跡,,,,kabasawayama,,仙台市青葉区芋沢字蒲沢山,38.293389,140.7454,世界,230,,,,,,,,,,,○,,,,,,局部磨製石斧/打製石斧/剥片ほか,,,,,,,宮城町教育委員会1984/仙台市教育委員会1996,B040059,B040024,,,,,発掘調査,20180315,小野章太郎,,,
40079,,青笹山遺跡,,,,Aosasayama,,仙台市泉区根白石字青笹山,38.342851,140.80638,世界,95,,,,,,,,,,,,,,,,,石刃,,,,,,,,,,,,,,採集資料,20180315,小野章太郎,,,
40080,,御駒堂遺跡,,,,Okomado,,栗原市志波姫御駒堂,38.74335,141.03852,世界,32,,,,,,,,,,,,,,,,,楔形石器/二次加工ある剥片/石刃/剥片,,,,,,,宮城県教育委員会2016,B040053,,,,,,発掘調査,20180315,小野章太郎,,,
40081,,築館城茶臼館跡,,,,Tsukidatejo-Chausudate,,栗原市築館字新田・萩沢,38.728688,141.00187,世界,55,,,,,,,,,,○,,,,,,,,,,,,,,佐藤信行・村上裕次2010,B040060,,,,,,採集資料,20180320,小野章太郎,,,
40082,,町田館跡付近,,,,Machidatate,,栗原市一迫王沢字北沢町田,38.771668,140.9615,世界,75,,,,,,,,,○,,,,,,,,,,,,,,,鈴木隆・大場亜弥・須藤隆2003,B040020,,,,,,採集資料,20180315,小野章太郎,,,
40083,,上ノ原山遺跡,Ⅳ区,,,Uenoharayama,Loc4,仙台市太白区茂庭字上ノ原山,38.21746,140.79915,世界,88,○,,,,,,,,,,○,○,,,,,石刃,,○,,,,,仙台市教育委員会1995,B040023,,,,,,発掘調査,20180315,小野章太郎,,,
40084,,野川遺跡,東北大学調査区,,,Nogawa,,仙台市熊ヶ根字町,38.295552,140.69153,世界,187,,,,,,,〇,,,,〇,,〇,,,,石鏃・有溝砥石,多縄文・押圧縄文,,,,,竪穴住居状遺構・石器集積,東北大学大学院文学研究科考古学研究室2014/2015/2016/2017/鹿又喜隆・川口亮2015a/2015b,B040054,B040055,B040056,B040057,B040058,,発掘調査,20180324,熊谷亮介,,,
40085,,伊治城跡,17次,,,Ijijo,,栗原市築館字城生野唐崎要害,38.764834,141.03797,世界,25,,,,,,,,,,,,,,,,,石刃/剥片,,,,,,,築館町教育委員会1992,B040028,,,,,,発掘調査,20180320,小野章太郎,,,
40086,,伊治城跡,19次,,,Ijijo,,栗原市築館字城生野地蔵堂,38.764524,141.03815,世界,25,,,,,,,,,,,○,,,,,,剥片,,,,,,,築館町教育委員会1993,B040029,,,,,,発掘調査,20180320,小野章太郎,,,
40087,,伊治城跡,20次,,,Ijijo,,栗原市築館字城生野地蔵堂,38.76415,141.03772,世界,25,,,,,,○,,,,,,,,,,,石刃,,,,,,,築館町教育委員会1994,B040030,,,,,,発掘調査,20180320,小野章太郎,,,
40088,,伊治城跡,21次,,,Ijijo,,栗原市築館字城生野地蔵堂,38.764229,141.03753,世界,25,,,,,,,,,,,,,,,,,石刃,,,,,,,築館町教育委員会1995,B040061,,,,,,発掘調査,20180320,小野章太郎,,,
40089,,伊治城跡,27次,,,Ijijo,,栗原市築館字城生野地蔵堂,38.763284,141.03829,世界,25,,,,,,,,,,,○,,,,,,,,,,,,,築館町教育委員会2001,B040062,,,,,,発掘調査,20180320,小野章太郎,,,
