ID,Site group (Japanese),Site name (Japanese),Locality name (Japanese),Cultural layer,Site group,Site name ,Locality name,Adress (Japanese),North Latitude,East Longitude,Geodetic system,Altitude (Tokyo Peil),Knife shaped tool,Trapeze（Trapezoid）,Axe shaped tool,Tangged point on blade,Triangulared pointed tool,Lanceolate shaped point,Biface,Micro blade,Mikoshiba type axe shaped tool,Tangged point,End scraper/Scraper,Burin,Whetstone,Hammer stone,Anvil stone,Pebble tool,Others (Japanease),Earthenware from the Incipient Jomon,Lithic cluster,Pebble cluster,Charcoal fragment concentration,Other features,Remark,Citation,CitationID1,CitationID2,Citation ID3,Citation ID4,Citation ID5,CitationID6,Research type,Creation date,Created by,Update date,Updated by,Coordinate check
290027,,庵治遺跡,,,,Ouji,,天理市庵治町,34.582417,135.788028,世界,43,○,,,,,,,,,,,,,,,,,,,,,,,奈良県立橿原考古学研究所2005,B290067,,,,,,発掘調査,20051020,光石鳴巳,20170224,光石鳴巳,1
290028,,布留遺跡,豊井(打破り)地区,,,Furu,Toyoi (Uchiyaburi),天理市布留町,34.60325,135.849972,世界,85,,,,,,,,,,○,,,,,,,,,,,,,,天理参考館1992,B290038,,,,,,発掘調査,20051020,光石鳴巳,20171209,光石鳴巳,1
290029,,柳本遺跡,大ナカ田地区,,,Yanagimoto,Oonakada,天理市柳本町,34.557044,135.836242,世界,64,,,,,,,,,,○,,,,,,,,,,,,,,天理市教育委員会1998,B290040,B290136,,,,,発掘調査,20051020,光石鳴巳,20170507,光石鳴巳,1
290030,,忌部山遺跡,,,,Inbeyama,,橿原市古川町,34.487,135.77,世界,87,○,,,,,,,,,,,,,,,,,,,,,,,網干善教1977/光石鳴巳2005a,B290004,B290095,,,,,発掘調査,20051020,光石鳴巳,20171209,光石鳴巳,1
290031,,川西町,,,,kawanishi,,橿原市川西町,34.481611,135.773028,世界,72,,,,,,,,,,○,,,,,,,,,,,,,『奈良県遺跡地図』では「千塚山遺跡」/出土位置特定できず,秋枝芳1972/石野博信1987,B290001,B290109,,,,,採集資料,20051020,光石鳴巳,20170127,光石鳴巳,1
290032,,夫婦池,,,,Unebikoko-toho,,橿原市醍醐町,34.510361,135.80125,世界,64,,,,,,,,,,○,,,,,,,,,,,,,『奈良県遺跡地図』では畝傍高校東方遺跡,佐藤良二1981,B290028,,,,,,採集資料,20051020,光石鳴巳,20171214,光石鳴巳,1
290033,,阿部中山,,,,Abenakayama,,桜井市阿部字中山,34.4995,135.843833,世界,110,○,,,,,,,,,,,,,,,,,,,,,,阿部丘陵遺跡群・中山1号墳,清水真一・佐藤良二1988,B290033,,,,,,発掘調査,20051020,光石鳴巳,20180331,光石鳴巳,1
290034,,吉備池遺跡,,,,Kibiike,,桜井市吉備,34.50601,135.833844,世界,84,○,,,,,,,,,,,,,,,,,,,,,,,奈良文化財研究所2003b/光石鳴巳2005a,B290078,B290095,,,,,発掘調査,20051020,光石鳴巳,20170507,光石鳴巳,1
290035,,黒崎遺跡,,,,Kurosaki,,桜井市黒崎,34.522333,135.876,世界,106,,,,,,,,,,○,,,,,,,,,,,,,,奈良県立橿原考古学研究所1978,B290043,,,,,,採集資料,20051020,光石鳴巳,20170228,光石鳴巳,1
290036,,茅原東遺跡,,,,Chiharahigashi,,桜井市茅原ゲンピ谷,34.536389,135.853444,世界,102,,,,,,,,,,○,,,,,,,,,,,,,,関川尚功・佐藤良二1986,B290035,,,,,,採集資料,20051020,光石鳴巳,20171207,光石鳴巳,1
290037,,岡桐山遺跡,,,,Okakiriyama,,五條市岡,34.359722,135.687861,世界,145,○,,,,,,,,,,,,,,,,,,,,,,,奈良県立橿原考古学研究所1999b/光石鳴巳2005a,B290055,B290095,,,,,発掘調査,20051020,光石鳴巳,20170405,光石鳴巳,1
290038,,釜窪遺跡,,,,Kamakubo,,五條市釜窪,34.356861,135.685972,世界,146,○,,,,,,,,,,,,,,,,,,,,,,,奈良県立橿原考古学研究所2003e/光石鳴巳2005a,B290065,B290095,,,,,発掘調査,20051020,光石鳴巳,20170405,光石鳴巳,1
290039,,上島野遺跡,,,,Kamishimano,,五條市島野町上島野,34.358889,135.739444,世界,134,△,,,,,,,,,,,,,,,,,,,,,,,市立五條文化博物館2004,B290034,,,,,,採集資料,20090924,光石鳴巳,20170127,光石鳴巳,1
290040,,下茶屋地蔵谷遺跡,,,,Shimochayajizoudani,,御所市下茶屋地蔵谷,34.433887,135.719754,世界,134,,,,,,,,,,○,,,,,,,,,,,,,,奈良県立橿原考古学研究所2000a,B290056,,,,,,発掘調査,20051020,光石鳴巳,20171130,光石鳴巳,1
290041,,西北窪遺跡,,,,Nishikitakubo,,御所市西北窪,34.417222,135.705556,世界,320,,,,,,,,,○,,,,,,,,,,,,,,,奈良県立橿原考古学研究所2001,B290058,,,,,,発掘調査,20051020,光石鳴巳,,,
290042,,鴨都波遺跡,,,,Kamotsuba,,御所市鴨都波,34.459,135.73275,世界,99,○,,,,○,,,,,,,,,,,,,,,,,,,奈良県立橿原考古学研究所2004/光石鳴巳2005a,B290066,B290095,,,,,発掘調査,20051020,光石鳴巳,20170405,光石鳴巳,1
290043,,田原城跡,,,,Tawarajou ato,,生駒市南田原,34.71875,135.695972,世界,149,,,,,,,,,,○,,,,,,,,,,,,,,奈良県立橿原考古学研究所1999a,B290054,,,,,,発掘調査,20051020,光石鳴巳,20170315,光石鳴巳,1
290044,二上山北麓遺跡群,滝ヶ谷遺跡,,,Nijouzan hokuroku,Takigatani,,香芝市田尻字滝ヶ谷,34.551278,135.657611,世界,96,,,,,,,,,,,,,,,,,翼状剥片/翼状剥片石核/盤状剥片石核,,,,,,,同志社大学旧石器文化談話会1974/奈良県立橿原考古学研究所1984,B290041,B290048,,,,,発掘調査,20060610,佐藤良二,20171221,光石鳴巳,1
290045,二上山北麓遺跡群,サカイ遺跡,,,Nijouzan hokuroku,Sakai,,香芝市田尻字ハヤシ、サカイ,34.551833,135.659611,世界,85,,,,,,,,,,,,,,,,,盤状剥片/縦長剥片/横長剥片,,,,,,,同志社大学旧石器文化談話会1974/塚田良道1981,B290041,B290036,,,,,採集資料,20060610,佐藤良二,20170207,光石鳴巳,1
290046,二上山北麓遺跡群,桜ヶ丘第１地点遺跡,第1次調査,,Nijouzan hokuroku,Sakuragaoka Loc.1,,香芝市穴虫字赤土平ほか,34.551639,135.661306,世界,72,○,,,,○,○,,,,,○,○,,○,○,○,翼状剥片/翼状剥片石核/盤状剥片/盤状剥片石核/石刃/石刃石核/黒曜岩製石器/楔形石器,,,,,,,同志社大学旧石器文化談話会1974/奈良県立橿原考古学研究所1979,B290041,B290044,,,,,発掘調査,20060610,佐藤良二,20170207,光石鳴巳,1
290047,二上山北麓遺跡群,桜ヶ丘第１地点遺跡,第11次調査,,Nijouzan hokuroku,Sakuragaoka Loc.1,11th,香芝市穴虫字赤土平,34.551167,135.661972,世界,83,,,,,,,,,,,,,,,,,剥片/石核/盤状剥片/盤状剥片石核,,○,,,,,香芝市教育委員会2008,B290014,,,,,,発掘調査,20090924,光石鳴巳,20170207,光石鳴巳,1
290048,二上山北麓遺跡群,桜ヶ丘第２地点遺跡,,,Nijouzan hokuroku,Sakuragaoka,Loc.2,香芝市穴虫字赤土平ほか,34.551417,135.664889,世界,80,,,,,,,,,,,○,,,,,,翼状剥片石核/盤状剥片/縦長剥片,,,,,,,同志社大学旧石器文化談話会1974,B290041,,,,,,採集資料,20060610,佐藤良二,20171202,光石鳴巳,1
290049,二上山北麓遺跡群,桜ヶ丘第３地点遺跡,,,Nijouzan hokuroku,Sakuragaoka,Loc.3,香芝市穴虫字赤土平ほか,34.550083,135.664917,世界,100,,,,,,○,,,,,,,,,,,翼状剥片石核/盤状剥片石核,,,,,,,同志社大学旧石器文化談話会1974/豊岡卓之1982/増田一裕1982,B290041,B290042,B290085,,,,採集資料,20060610,佐藤良二,20171225,光石鳴巳,1
290050,二上山北麓遺跡群,桜ヶ丘第４地点遺跡,,,Nijouzan hokuroku,Sakuragaoka,Loc.4,香芝市穴虫字赤土平ほか,34.552194,135.662806,世界,68,○,,,,,,,,,,,,,,,,翼状剥片/鋸歯縁石器,,,,,,,松藤和人1982a,B290088,,,,,,採集資料,20060610,佐藤良二,20171225,光石鳴巳,1
290051,二上山北麓遺跡群,鶴峯荘第１地点遺跡,,,Nijouzan hokuroku,Tsuruminesou,Loc.1,香芝市穴虫字十丈坊,34.54975,135.667861,世界,90,○,,,,,,,,,○,○,○,,○,,,翼状剥片/翼状剥片石核/盤状剥片/盤状剥片石核/楔形石器/石錐,,,,,土坑,AT上位でサヌカイト礫採掘坑１基検出,同志社大学旧石器文化談話会1974/香芝市教育委員会2004,B290041,B290011,,,,,発掘調査,20060610,佐藤良二,20171129,光石鳴巳,1
290052,二上山北麓遺跡群,鶴峯荘第２地点遺跡,1989年度調査地,,Nijouzan hokuroku,Tsuruminesou,Loc.2(1989),香芝市穴虫字ニト山,34.552111,135.665806,世界,72,○,,,,○,○,,,,,○,,,○,,,翼状剥片/翼状剥片石核/盤状剥片/盤状剥片石核/楔形石器,,,,,,,同志社大学旧石器文化談話会1974/香芝町教育委員会1990,B290041,B290020,,,,,発掘調査,20060610,佐藤良二,20171130,光石鳴巳,1
290053,二上山北麓遺跡群,鶴峯荘第３地点遺跡,1988年度調査地,,Nijouzan hokuroku,Tsuruminesou,Loc.3(1988),香芝市穴虫字三本,34.548861,135.666139,世界,110,（○）,,,,,○,,,,,○,,,○,,,翼状剥片/翼状剥片石核/盤状剥片/盤状剥片石核/楔形石器,,,,,,,吉井宣子1988a/香芝町教育委員会1989a/香芝市教育委員会2002,B290105,B290017,B290010,,,,発掘調査,20060610,佐藤良二,20171130,光石鳴巳,1
290054,二上山北麓遺跡群,鶴峯荘第４地点遺跡,,,Nijouzan hokuroku,Tsuruminesou,Loc.4,香芝市穴虫字ニト山,34.551417,135.666556,世界,79,○,,,,○,○,,,,,○,,,○,,,翼状剥片/翼状剥片石核/盤状剥片/盤状剥片石核/石刃,,,,,,,同志社大学旧石器文化談話会1974,B290041,,,,,,採集資料,20060610,佐藤良二,20171120,光石鳴巳,1
290055,二上山北麓遺跡群,鶴峯荘第５地点遺跡,,,Nijouzan hokuroku,Tsuruminesou,Loc.5,香芝市穴虫字十丈坊,34.550889,135.666222,世界,80,○,,,,,,,,,,,,,,,,翼状剥片/翼状剥片石核/盤状剥片/盤状剥片石核/石刃/石刃石核,,,,,,,同志社大学旧石器文化談話会1974/吉井宣子1984/吉井宣子1987b,B290041,B290101,B290104,,,,発掘調査,20060610,佐藤良二,20171120,光石鳴巳,1
290056,二上山北麓遺跡群,鶴峯荘第６地点遺跡,,,Nijouzan hokuroku,Tsuruminesou,Loc.6,香芝市穴虫字ニト山,34.549192,135.665789,世界,85,,,,,,,,,,,,,,,,,翼状剥片/盤状剥片/盤状剥片石核,,,,,,,同志社大学旧石器文化談話会1974/松藤和人1986,B290041,B290092,,,,,採集資料,20060610,佐藤良二,20171224,光石鳴巳,1
290057,二上山北麓遺跡群,脇ヶ平遺跡,,,Nijouzan hokuroku,,,香芝市穴虫字脇ヶ平,34.548333,135.659444,世界,75,,,,,,,,,,,,,,,,,盤状剥片,,,,,,,後藤優・長瀬潤一1973,B290027,,,,,,採集資料,20060610,佐藤良二,,,
290058,二上山北麓遺跡群,屯鶴峯第３地点遺跡,,,Nijouzan hokuroku,Donzurubou,Loc.3,香芝市穴虫字赤谷,34.546778,135.66075,世界,90,,,,,,,,,,,,,,,,,翼状剥片,,,,,,,同志社大学旧石器文化談話会1974,B290041,,,,,,採集資料,20060610,佐藤良二,20171202,光石鳴巳,1
290059,二上山北麓遺跡群,シル谷第２地点遺跡,,,Nijouzan hokuroku,Shirudani,Loc.2,香芝市穴虫字シル谷、三本,34.547472,135.665444,世界,120,,,,,,,,,,,,,,,,,翼状剥片,,,,,,,同志社大学旧石器文化談話会1974,B290041,,,,,,採集資料,20060610,佐藤良二,20171202,光石鳴巳,1
290060,二上山北麓遺跡群,黒岩遺跡,,,Nijouzan hokuroku,Kuroiwa,,香芝市関屋字石坂ほか,34.552889,135.672778,世界,85,○,,,,,,,,,,,,,,,,翼状剥片/翼状剥片石核/盤状剥片石核,,,,,,,同志社大学旧石器文化談話会1974/松藤和人1982b,B290041,B290089,,,,,採集資料,20060610,佐藤良二,20171224,光石鳴巳,1
290061,二上山北麓遺跡群,清風荘第１地点遺跡,,,Nijouzan hokuroku,Seifusou,Loc.1,香芝市穴虫字打越、郡ヶ池,34.549194,135.672472,世界,115,,,,,,,,,,,,,,,,,翼状剥片/盤状剥片,,,,,,,松藤和人1981/奈良県立橿原考古学研究所1982,B290087,,,,,,発掘調査,20060610,佐藤良二,20171224,光石鳴巳,1
290062,二上山北麓遺跡群,郡ヶ池遺跡,1992年度調査区,,Nijouzan hokuroku,Korigaike,1992,香芝市穴虫字郡ヶ池,34.545667,135.678083,世界,83,,,,,,○,,,,,,,,,,,翼状剥片/翼状剥片石核,,,,,,,香芝市教育委員会1993,B290008,,,,,,発掘調査,20060610,佐藤良二,20171207,光石鳴巳,1
290063,二上山北麓遺跡群,田尻峠第１地点遺跡,,,Nijouzan hokuroku,Tajiritouge,Loc.1,香芝市穴虫字休場,34.543833,135.668972,世界,110,○,,,,,,,,,,○,○,,,,,翼状剥片/盤状剥片,,,,,,,同志社大学旧石器文化談話会1974/麻柄一志1985/香芝町教育委員会1989c,B290041,B290083,B290019,,,,発掘調査,20060610,佐藤良二,20171224,光石鳴巳,1
290064,二上山北麓遺跡群,田尻峠第２地点遺跡,,,Nijouzan hokuroku,Tajiritouge,Loc.2,香芝市穴虫字休場,34.54425,135.671306,世界,108,,,,,,,,,,,,,,,,,,,,,,,,同志社大学旧石器文化談話会1974/奈良県立橿原考古学研究所1983b/香芝町教育委員会1989c,B290041,B290047,B290019,,,,発掘調査,20060610,佐藤良二,20171224,光石鳴巳,1
290065,二上山北麓遺跡群,田尻峠第３地点遺跡,,,Nijouzan hokuroku,Tajiritouge,Loc.3,香芝市穴虫字郡ヶ池,34.544361,135.674,世界,110,,,,,,,,,,,○,,,,,,翼状剥片石核,,,,,,,同志社大学旧石器文化談話会1974/香芝町教育委員会1989c,B290041,B290019,,,,,発掘調査,20060610,佐藤良二,20171224,光石鳴巳,1
290066,二上山北麓遺跡群,田尻峠第４地点遺跡,,,Nijouzan hokuroku,Tajiritouge,Loc.4,香芝市穴虫字三本,34.544583,135.666944,世界,120,,,,,,,,,,,,,,,,,翼状剥片石核,,,,,,,奥田尚・増田一裕1981/増田一裕1981,B290110,B290084,,,,,採集資料,20060610,佐藤良二,20171224,光石鳴巳,1
290067,二上山北麓遺跡群,田尻峠第５地点遺跡,,,Nijouzan hokuroku,Tajiritouge,Loc.5,香芝市穴虫字三本ほか,34.545,135.664722,世界,143,,,,,,,,,,,,,,,,,翼状剥片石核,,,,,,,松藤和人1982d,B290091,,,,,,発掘調査,20060610,佐藤良二,,,
290068,二上山北麓遺跡群,田尻峠第６地点遺跡,,,Nijouzan hokuroku,Tajiritouge,Loc.6,香芝市穴虫字大シバ,34.542972,135.670833,世界,97,,,,,,,,,,,,,,,,,翼状剥片,,,,,,,松藤和人1982c/吉井宣子1988b,B290090,B290106,,,,,採集資料,20060610,佐藤良二,20171226,光石鳴巳,1
290069,二上山北麓遺跡群,堂ヶ谷遺跡,,,Nijouzan hokuroku,Dougatani,,香芝市穴虫字堂ヶ谷,34.545528,135.670333,世界,125,,,,,○,,,,,,,,,,,,翼状剥片,,,,,,,新井正夫・佐藤良二1981,B290005,,,,,,採集資料,20060610,佐藤良二,20171207,光石鳴巳,1
290070,二上山北麓遺跡群,今泉遺跡,,,Nijouzan hokuroku,Imaizumi,,香芝市上中、今泉,34.5575,135.688056,世界,100,,,,,,○,,,,,,,,,,,,,,,,,出土位置特定できず,久野邦雄・秋枝芳1972,B290025,,,,,,採集資料,20060610,佐藤良二,-,,
290071,二上山北麓遺跡群,平地山遺跡,,,Nijouzan hokuroku,Hirachiyama,,香芝市田尻字平地山,34.550278,135.658333,世界,90,○,,○,,,○,,,○,○,○,,○,○,,,翼状剥片/翼状剥片石核/石刃/石刃石核,,,,,,,吉井宣子1986,B290102,,,,,,採集資料,20060610,佐藤良二,,光石鳴巳,1
290072,二上山北麓遺跡群,瑞宝園第２地点遺跡,,,Nijouzan hokuroku,Zuihouen,Loc.2,香芝市穴虫字十丈坊,34.548778,135.669361,世界,112,○,,,,,○,,,,,○,,,,,,翼状剥片/盤状剥片,,,,,,,吉井宣子1994,B290107,,,,,,採集資料,20060610,佐藤良二,20171130,光石鳴巳,1
290073,二上山北麓遺跡群,瑞宝園第３地点遺跡,,,Nijouzan hokuroku,Zuihouen,Loc.3,香芝市穴虫字十丈坊,34.547139,135.67125,世界,120,,,,,,○,,,,,○,,,,,,翼状剥片/盤状剥片/盤状剥片石核,,,,,,,吉井宣子1994,B290107,,,,,,採集資料,20060610,佐藤良二,20171130,光石鳴巳,1
290074,,鈴山遺跡,,,,Suzuyama,,香芝市瓦口,34.537583,135.719583,世界,61,○,,,,,,,,,,,,,,,,剥片,,,,,土坑,遺物は土坑からまとまって出土,香芝町教育委員会・奈良県立橿原考古学研究所1985,B290024,,,,,,発掘調査,20051020,光石鳴巳,20170127,光石鳴巳,1
290075,,瓦口森田遺跡,,,,Kawaraguchimorita,,香芝市瓦口,34.537889,135.716278,世界,54,○,,,,,,,,,○,,,,,,,,,,,,,,香芝町教育委員会1989b,B290018,,,,,,発掘調査,20051020,光石鳴巳,20171206,光石鳴巳,1
290076,,石田遺跡,,,,Ishida,,香芝市良福寺,34.526722,135.702417,世界,75,○,,,,,,,,,,,,,,,,翼状剥片,,,,,,,佐藤良二1993,B290029,,,,,,採集資料,20051020,光石鳴巳,20171205,光石鳴巳,1
290077,,竹内遺跡,第14次調査地点,,,Takenouchi,14th,葛城市竹内,34.510022,135.701536,世界,103,○,,,,,,,,,,,,,,,,,,,,,,旧・北葛城郡當麻町,有本昭子2000,B290006,,,,,,採集資料,20051020,光石鳴巳,20170502,光石鳴巳,1
