ID,Citation,Author (Japanease),Author (Japanease),Publication year,Publication year,Paper name,Journal/ Report name,Link 
B040043,宮城県教育委員会1980,宮城県教育委員会,みやぎけんきょういくいいんかい,1980,,,持長地遺跡　東北自動車道遺跡発掘調査報告書Ⅳ　宮城県文化財調査報告書第71集,http://sitereports.nabunken.go.jp/9511
B040044,宮城県教育委員会1994,宮城県教育委員会,みやぎけんきょういくいいんかい,1994,,,新谷地遺跡　下草古城跡ほか　宮城県文化財調査報告書第160集,http://sitereports.nabunken.go.jp/9982
B040045,宮城県教育委員会1999,宮城県教育委員会,みやぎけんきょういくいいんかい,1999,,,名生館遺跡・下草古城本丸跡ほか　宮城県文化財調査報告書第181集,http://sitereports.nabunken.go.jp/9947
B040046,宮城県教育委員会2001,宮城県教育委員会,みやぎけんきょういくいいんかい,2001,,,淀遺跡　名生館遺跡ほか　宮城県文化財調査報告書第187集,http://sitereports.nabunken.go.jp/9505
B040047,宮城県多賀城跡調査研究所1983,宮城県多賀城跡調査研究所,みやぎけんたがじょうあとちょうさけんきゅうじょ,1983,,,名生館遺跡Ⅲ －玉造柵跡推定地－　多賀城関連遺跡発掘調査報告書第８冊,http://ci.nii.ac.jp/ncid/BN00984379
B040048,矢島・佐川2003,矢島國雄・佐川正敏,やじまくにお・さがわまさとし,2003,,Ⅲ部 捏造遺跡の検証発掘 宮城県岩出山町座散乱木遺跡,前・中期旧石器遺跡問題の検証日本考古学協会編,http://ci.nii.ac.jp/ncid/BA62517541
B040049,吉田2008,吉田桂,よしだけい,2008,,宮城県加美郡加美町薬莱原No.15遺跡の調査,旧石器考古学70,http://ci.nii.ac.jp/ncid/AN00159402
B040050,鹿又ほか2017,鹿又喜隆ほか,かのまたよしたかほか,2017,,宮城県北西山麓域における後期旧石器文化の研究1 －加美町砂坂遺跡第1次発掘調査－,Bulletin of the Tohoku University Museum No. 16,https://ci.nii.ac.jp/ncid/AA11614269
B040051,栗原市教育委員会2010,栗原市教育委員会,くりはらしきょういくいいんかい,2010,,,大久保遺跡,http://sitereports.nabunken.go.jp/10304
B040052,加美町教育委員会2014,加美町教育委員会,かみまちきょういくいいんかい,2014,,,薬莱原No.15遺跡II : 町道表薬莱線整備工事に伴う発掘調査報告書,http://ci.nii.ac.jp/ncid/BB15533379
B040053,宮城県教育委員会2016,宮城県教育委員会,みやぎけんきょういくいいんかい,2016,,,御駒堂遺跡・堂の沢遺跡　?一般国道4号線築館バイパス関連遺跡調査報告書Ⅲ?　宮城県文化祭調査報告書第244集,https://sitereports.nabunken.go.jp/19035
B040054,東北大学大学院文学研究科考古学研究室2015,東北大学大学院文学研究科考古学研究室,とうほくだいがくだいがくいんぶんがくけんきゅうか,2015,,仙台市野川遺跡2014・2015年度発掘調査,平成27年度宮城県遺跡調査成果発表会発表要旨,http://ci.nii.ac.jp/ncid/BN1161788X
B040055,東北大学大学院文学研究科考古学研究室2016,東北大学大学院文学研究科考古学研究室,とうほくだいがくだいがくいんぶんがくけんきゅうか,2016,,仙台市野川遺跡2016年度発掘調査,平成28年度宮城県遺跡調査成果発表会発表要旨,http://ci.nii.ac.jp/ncid/BN1161788X
B040056,東北大学大学院文学研究科考古学研究室2017,東北大学大学院文学研究科考古学研究室,とうほくだいがくだいがくいんぶんがくけんきゅうか,2017,,仙台市野川遺跡2017年度発掘調査,平成29年度宮城県遺跡調査成果発表会発表要旨,http://ci.nii.ac.jp/ncid/BN1161788X
B040057,鹿又・川口2015a,鹿又喜隆・川口亮,かのまたよしたか・かわぐちりょう,2015,a,宮城県仙台市野川遺跡2014年度発掘調査の概要,第28回東北日本の旧石器文化を語る会予稿集,http://ci.nii.ac.jp/ncid/BN11814337
B040058,鹿又・川口2015b,鹿又喜隆・川口亮,かのまたよしたか・かわぐちりょう,2015,b,宮城県仙台市野川遺跡2015年度発掘調査の概要,第29回東北日本の旧石器文化を語る会予稿集,http://ci.nii.ac.jp/ncid/BN11814337
B040059,宮城町教育委員会1984,宮城町教育委員会,みやぎまちきょういくいいんかい,1984,,,蒲沢山遺跡 : 遺跡詳細分布調査報告書　宮城町文化財調査報告書第4集,https://ci.nii.ac.jp/ncid/BB00890102
B040060,佐藤・村上2010,佐藤信行・村上裕次,さとうしんこう・むらかみゆうじ,2010,,宮城県栗原市採集のナイフ形石器と有舌尖頭器,宮城考古学第12号,https://ci.nii.ac.jp/naid/40017173295
B040061,築館町教育委員会1995,築館町教育委員会,つきだてちょうきょういくいいんかい,1995,,,伊治城跡 －平成6年度発掘調査報告書－　築館町文化財調査報告書第8集,https://sitereports.nabunken.go.jp/10007
B040062,築館町教育委員会2001,築館町教育委員会,つきだてちょうきょういくいいんかい,2001,,,伊治城跡 －平成12年度：第27次発掘調査報告書－　築館町文化財調査報告書第14集,https://sitereports.nabunken.go.jp/9488
B040063,栗原市教育委員会2013,栗原市教育委員会,くりはらしきょういくいいんかい,2013,,,伊治城跡 －平成24年度：第41次発掘調査報告書－　築館町文化財調査報告書第17集,https://ci.nii.ac.jp/ncid/BA91734827#anc-resource
B040064,栗原市教育委員会2015,栗原市教育委員会,くりはらしきょういくいいんかい,2015,,,伊治城跡 －平成26年度：第42次発掘調査報告書－　築館町文化財調査報告書第19集,https://ci.nii.ac.jp/ncid/BA91734827#anc-resource
B040065,宮城県多賀城跡調査研究所1993,宮城県多賀城跡調査研究所,みやぎけんたがじょうあとちょうさけんきゅうじょ,1993,,,東山遺跡Ⅶ : 賀美郡衙跡推定地　多賀城関連遺跡発掘調査報告書第18冊,http://iss.ndl.go.jp/books/R100000002-I000003015215-00
B040066,佐久間2010,佐久間光平,さくまこうへい,2010,,加美町東山官衙遺跡出土のナイフ形石器について,東北歴史博物館研究紀要第11号,http://iss.ndl.go.jp/books/R000000054-I000016147-00
B040067,相原2016,相原淳一,あいはらじゅんいち,2016,,宮城県における薄手無文土器の再検討－宮城県蔵王町上原田遺跡・明神裏遺跡－,東北歴史博物館研究紀要第17号,http://iss.ndl.go.jp/books/R000000004-I027232897-00
