文献番号,著者・編者,著者・編者ふりがな,発行年1,発行年2,論文名,雑誌名・報告書名
B010078,太田敏量,おおたとしかず,1998,,,北進遺跡Ⅱ－北海道街路事業北見市3・4・20号高栄通（3工区）に伴う緊急発掘調査報告書－
B010079,北見市教育委員会・北見郷土研究会,きたみしきょういくいいんかい・きたみきょうどけんきゅうかい,1962,,,広郷遺跡・北上遺跡・美里洞窟・南丘観音山遺跡遺跡調査概要
B010080,木村英明,きむらひであき,1978,,余市川・赤井川流域の先土器石器群について,北海道考古学14
B010081,木村英明,きむらひであき,1983,,細石器（北海道）,季刊考古学４
B010082,木村英明,きむらひであき,1985,,,北海道考古学教室１　マンモスを追って
B010083,Hideaki Kimura,きむらひであき,1992,,,Reexamination of the Yubetu techniqe and study of the Horokazawa Toma Lithic Culture
B010084,木村英明,きむらひであき,2003,,,白滝幌加沢遺跡遠間地点と黒曜石原産地[第九次調査概報]
B010085,木村英明・斉藤譲一・山田和史・藤田祐・徳本通子・小谷直嗣・吉崎光男・平山禾都・加藤勝子,きむらひであき・さいとうじょういち・やまだかずふみ・ふじたゆう・とくもとみちこ・こたになおし・よしざきみつお・ひらやまいねと・かとうかつこ,2005,,白滝幌加沢遺跡遠間地点発掘調査における最新の成果概況,第19回東北日本の旧石器文化を語る会予稿集
B010086,釧路市教育委員会,くしろしきょういくいいんかい,1975,,,釧路市北斗遺跡調査概要
B010087,釧路市教育委員会,くしろしきょういくいいんかい,1992,,,釧路市北斗遺跡Ⅱ
B010088,工藤肇,くどうはじめ,2001,,勇払郡早来町遠浅６遺跡出土の旧石器時代遺物について,苫小牧市埋蔵文化財センター所報　第３号
B010089,久保勝範,くぼかつのり,1971,,北見市内に於ける発掘調査終了遺跡の概要－特に先土器遺跡について－,北見郷土博物館紀要第１集
B010090,久保勝範・菅野友世,くぼかつのり・かんのともよ,1980,,北見市北進遺跡発掘調査報告特集,北見郷土博物館紀要第10集
B010091,熊谷仁志・笠原興ほか,くまがやひとし・かさはらこう,1999,,,千歳市キウス４遺跡（４）Ａ２地区
B010092,熊谷仁志・鎌田望ほか,くまがやひとし・かまたのぞみ,1998,,,千歳市キウス５遺跡（６）Ｂ地区・Ｃ地区
B010093,桑原護,くわはらまもる,1975,,札滑遺跡,日本の旧石器文化２
B010094,桑原護,くわはらまもる,1977,,,札滑遺跡　K地点の石器群
B010095,橋爪実,はしづめみのる,1981,,,日出-４・５－北海道常呂郡訓子府町日出-４・５遺跡発掘調査報告書－
B010096,橋爪実,はしづめみのる,1985,,,日出-11遺跡－北海道常呂郡訓子府町日出-11遺跡発掘調査報告書－
B010097,橋爪実・鶴丸俊明,はしづめみのる・つるまるとしあき,1990,,,北栄-40遺跡－北海道常呂郡訓子府町北栄-40遺跡発掘調査報告書－
B010098,橋爪実・鶴丸俊明,はしづめみのる・つるまるとしあき,1993,,,豊坂-21遺跡－北海道常呂郡訓子府町豊坂-21遺跡発掘調査報告書－
B010099,越田賢一郎・末田正卓,こしだけんいちろう・すえだまさたか,1998,,,恵庭市ユカンボシＥ10遺跡
B010100,児玉作左衛門・大場利夫,こだまさくざえもん・おおばとしお,1957,,,狩太遺跡
B010101,小林政喜,こばやしまさき,1969,a,白滝村八号沢上流発見の石器について,北見の考古資料
B010102,小林政喜,こばやしまさき,1969,b,白滝村鴻上台地発見の石器,北見の考古資料
B010103,近藤忠,こんどうただし,1958,,西興部の無土器文化,先史時代第七輯
B010104,近藤忠,こんどうただし,1979,,生田原遺跡－片刃打製石斧と石刃をともなう文化－,北海道考古学15
B010105,斉藤傑,さいとうけつ,1968,,,嵐山遺跡
B010106,斉藤譲一・山田和史・熊谷誠・藤田祐･徳本通子,さいとうじょういち・やまだかずふみ・くまがいまこと・ふじたゆう・とくもとみちこ,2005,,白滝村幌加沢遺跡遠間地点における考古学的調査　第10・11次調査概報,Aru:k1
B010107,斎藤武一,さいとうたけかず,1970,,白滝村鴻上台地の石器について,北海道の文化18
B010108,斉藤武一,さいとうたけかず,1960,,美瑛町北瑛発見の船底形石器について,あけぼの２
B010109,斉藤武一・清杉久義,さいとうたけかず・きよすぎひさよし,1958,,旭川市旭ケ丘遺跡発見の無土器文化,郷土の科学22
B010110,佐川俊一・和泉田毅ほか,さがわしゅんいち・いずみだたけし,2003,,,千歳市オルイカ２遺跡
B010111,坂本尚史,さかもとなおふみ,2008,,北海道遠軽町旧白滝３遺跡,第22回東北日本の旧石器文化を語る会予稿集
B010112,坂本尚史・長沼孝･直江康雄･鈴木宏行,さかもとなおふみ・ながぬまたかし・なおえやすお・すずきひろゆき,2000,,,白滝遺跡群Ⅰ　上白滝７遺跡
B010113,笹島香織,ささじまかおり,1999,,幕別町美川地点における採集資料について,北海道旧石器文化研究第４号
B010114,笹島香織,ささじまかおり,2003,,更別村昭和遺跡出土の石器について,北海道旧石器文化研究第８号
B010115,札幌大学木村英明ゼミナール,さっぽろだいがくきむらひであきぜみなーる,1988,a,白滝村幌加沢遺跡遠間地点における考古学的調査　第一次調査概報,札幌大学教養学部教養ゼミナール論集14
B010116,札幌大学木村英明ゼミナール,さっぽろだいがくきむらひであきぜみなーる,1988,b,服部台遺跡採集の細石刃核,札幌大学教養学部教養ゼミナール論集14
B010117,札幌大学木村英明ゼミナール,さっぽろだいがくきむらひであきぜみなーる,1989,,白滝村幌加沢遺跡遠間地点における考古学的調査　第二次調査概報,札幌大学教養学部教養ゼミナール論集15
B010118,札幌大学木村英明ゼミナール,さっぽろだいがくきむらひであきぜみなーる,1990,,白滝村幌加沢遺跡遠間地点における考古学的調査　第三次調査概報,札幌大学教養学部教養ゼミナール論集16
B010119,札幌大学木村英明ゼミナール,さっぽろだいがくきむらひであきぜみなーる,1996,,白滝村幌加沢遺跡遠間地点における考古学的調査　第七次調査概報,札幌大学教養学部教養ゼミナール論集22
B010120,札幌大学木村英明ゼミナール,さっぽろだいがくきむらひであきぜみなーる・こうこがくけんきゅうかい,1986,,白滝服部台遺跡における表面採集,札幌大学教養学部教養ゼミナール論集12
B010121,札幌大学埋蔵文化財展示室,さっぽろだいがくまいぞうぶんかざいてんじしつ,2006,,白滝幌加沢遺跡遠間地点における考古学的調査-2006年度　第13次調査概報-,Aru:k2
B010122,佐藤忠雄,さとうただお,1961,,,射的山
B010123,更別村教育委員会,さらべつむらきょういくいいんかい,1977,,,勢雄遺跡
B010124,澤四郎･西幸隆･松田猛,さわしろう・にしゆきたか・まつだたけし,1987,,第１編第２章　先史時代の鶴居,鶴居村史
B010125,篠原正男,しのはらまさお,1983,,,昭和57年度ニセコ町内遺跡分布調査報告書Ⅱ
B010126,下川町教育委員会,しもかわちょうきょういくいいんかい,1993,,,下川町の文化財第３集　中内考古資料目録
B010127,黒松内町教育委員会,くろまつないちょうきょういくいいんかい,1991,,,黒松内町の遺跡
B010128,白滝団体研究会,しらたきだんたいけんきゅうかい,1963,,,白滝遺跡の研究
B010129,菅訓章,すがのりあき,1978,,東大雪山麓の先史遺跡（Ⅰ）,十勝考古第２号
B010130,杉浦重信,すぎうらしげのぶ,1987,,,富良野市文化財調査報告第33輯　東麓郷１・２遺跡
B010131,杉原荘介・戸沢充則,すぎはらそうすけ・とざわみつのり,1975,,,北海道白滝服部台における細石器文化
B010132,鈴木邦輝,すずきくにてる,1988,,,名寄市日進２遺跡・日進33遺跡
B010133,木古内町教育委員会,きこないちょうきょういくいいんかい,1991,,,釜谷４遺跡－渡島地区広域営農団地農道整備事業に伴う発掘調査報告書－
B010134,鈴木邦輝,すずきてるふみ,1986,,,桜ヶ丘遺跡
B010135,鈴木宏行･直江康雄,すずきひろゆき・なおえやすお,2006,,,白滝遺跡群Ⅵ　上白滝８遺跡（２）
B010136,鈴木宏行･直江康雄,すずきひろゆき・なおえやすお,2007,,,白滝遺跡群Ⅷ　白滝８遺跡･白滝18遺跡･白滝３遺跡
B010137,鈴木宏行・直江康雄･長沼孝,すずきひろゆき・なおえやすお・ながぬまたかし,2004,,,白滝遺跡群Ⅳ　奥白滝11遺跡・上白滝８遺跡・上白滝６遺跡(２)・白滝第30地点遺跡
B010138,鈴木宏行･長沼孝･越田雅司・直江康雄,すずきひろゆき･ながぬまたかし･こしだまさし・なおえやすお,2001,,,白滝遺跡群Ⅱ　上白滝２遺跡・上白滝6遺跡・北支湧別4遺跡
B010139,鈴木信,すずきまこと,1996,,,千歳市オサツ２遺跡（２）
B010140,芹沢長介,せりざわちょうすけ,1983,,,モサンル
B010141,曽根敏雄・米村衛・隅田まり,そねとしお・よねむらまもる・すみだまり,1991,,北海道、越川遺跡における約２万年前の細石刃様の石器,第四紀研究第30巻第２号
B010142,大樹町,たいきちょう,1993,,,大樹町史
B010143,高倉純・出穂雅実,たかくらじゅん・いずほまさみ,1998,,頓別平野および宗谷丘陵における細石刃石器群,北海道旧石器文化研究第３号
B010144,高倉純・出穂雅実・鶴丸俊明,たかくらじゅん・いずほまさみ・つるまるとしあき,2004,,北海道上川郡下川町ルベの沢遺跡の調査,日本考古学協会第70回総会研究発表要旨集
B010145,高橋稀一,たかはしきいち,1969,,富良野盆地の先史,富良野地方史
B010146,田才雅彦ほか,たさいまさひこ,1990,,,モンガク丘陵の遺跡群
B010147,種市幸生・田才雅彦ほか,たねいちゆきお・たさいまさひこ,1989,,,忍路土場遺跡・忍路５遺跡
B010148,田村俊之,たむらとしゆき,1983,,,メボシ川２遺跡における考古学的調査
B010149,田村俊之,たむらとしゆき,1994,,,丸子山遺跡における考古学的調査
B010150,千葉英一ほか,ちばえいいち,1988,,,美沢川流域の遺跡群11
B010151,千葉英一･畑宏明,ちばえいいち・はたひろあき,1982,,,服部台２遺跡・近藤台１遺跡
B010152,立木宏明,ついきひろあき,1991,,北海道白滝第30地点遺跡の踏査,旧石器考古学42
B010153,筑波大学･札幌大学・湧別川流域史研究会,つくばだいがく・さぽろだいがく・ゆうべつがわりゅういきしけんきゅうかい,1985,,,タチカルシュナイ　M1地点発掘調査概報　-1985年度-
B010154,筑波大学遠間資料研究グループ,つくばだいがくおましりょうけんきゅうぐるーぷ,1990,,,湧別川-遠間栄治氏採集幌加沢遺跡遠間地点石器図録
B010155,筑波大学人文学類先史学演習グループ・湧別川流域史研究会,つくばだいがくじんぶんがくるいせんしがくえんしゅうぐるーぷ・ゆうべつがわりゅういきしけんきゅうかい,1984,,,タチカルシュナイ　M1地点1984年度発掘調査概報
B010156,筑波大学歴史人類学系・湧別川流域史研究会,つくばだいがくれきしじんるいがくけい・ゆうべつがわりゅういきしけんきゅうかい,1983,,,タチカルシュナイ　M1地点発掘調査概報　-1983年度-
B010157,辻秀子,つじひでこ,1973,,北海道上士幌町嶋木遺跡の調査報告,石器時代第10号
B010158,鶴居村教育委員会,つるいむらきょういくいいんかい,2006,,,下幌呂15遺跡発掘調査報告書
B010159,鶴丸俊明,つるまるとしあき,1974,,,置戸町拓殖遺跡調査概報（第１次分）
B010160,鶴丸俊明,つるまるとしあき,1975,,増田遺跡,日本の旧石器文化２
B010161,鶴丸俊明,つるまるとしあき,1978,,,むかしむかし―るべしべをしる
B010162,鶴丸俊明,つるまるとしあき,1981,,先土器文化の遺跡,北見市史上巻
B010163,鶴丸俊明ほか,つるまるとしあき,1989,,,北海道平取町イルエカシ遺跡
B010164,今金町教育委員会,いまかねちょうきょういくいいんかい,1989,,,今金町の遺跡：北海道今金町遺跡分布調査報告書
B010165,今金町教育委員会,いまかねちょうきょういくいいんかい,1990,,,神丘２遺跡：道営畑地帯総合土地改良事業用地内埋蔵文化財発掘調査報告書
B010166,今金町教育委員会,いまかねちょうきょういくいいんかい,2001,,,ピリカ遺跡Ⅰ：史跡ピリカ遺跡史跡整備事業に伴う発掘調査報告書
B010167,今金町教育委員会,いまかねちょうきょういくいいんかい,2002,,,ピリカ遺跡Ⅱ：史跡ピリカ遺跡史跡整備事業に伴う発掘調査報告書
B010168,十勝考古学研究所,とかちこうこがくけんきゅうしょ,1989,,,帯広市暁遺跡の発掘調査
B010169,戸沢充則,とざわみつのり,1967,,北海道置戸安住遺跡の調査とその石器群,考古学集刊第３巻第３号
B010170,都竹一衛,とたけかずえ,1966,,先史編,上川町史
B010171,戸田哲也,とだてつや,1969,,白滝Ⅴ地点採集の石器,Field6
B010172,友田哲弘,ともだてつひろほか,2001,,,桜岡５遺跡
B010173,友田哲弘,ともだてつや,1994,,先土器時代の上川,新旭川市史第１巻通史１
B010174,豊原熙司・瀬下直人・松村愉文・坂井通子・石川定幸,とよはらひろし・せしもなおと・まつむらよしふみ・さかいみちこ・いしかわさだゆき,2003,,紋別郡白滝村上支湧別出土の細石刃,北方探求５
B010175,直江康雄,なおえやすお,2008,,,白滝遺跡群Ⅸ　旧白滝５遺跡
B010176,直江康雄,なおえやすお,2009,,,白滝遺跡群Ⅹ　旧白滝16遺跡・旧白滝１遺跡
B010177,直江康雄・鈴木宏行,なおえやすお・すずきひろゆき,2007,,,白滝遺跡群Ⅶ　服部台２遺跡･奥白滝１遺跡（２）
B010178,直江康雄･鈴木宏行･長沼孝,なおえやすお・すずきひろゆき・ながぬまたかし,2002,,,白滝遺跡群Ⅲ　奥白滝１遺跡・上白滝５遺跡
B010179,長崎潤一,ながさきじゅんいち,2004,,2003年上士幌町糠平湖タウシュベツ川遺跡の踏査報告,北海道旧石器文化研究第９号
B010180,中谷良弘,なかたによしひろ,1978,,石狩川流域、上川町の先史時代遺跡,上川町の自然第３集
B010181,（財）北海道埋蔵文化財センター,ほっかいどうまいぞうぶんかざいせんたー,1985,b,,今金町美利河１遺跡 : 美利河ダム建設事業に伴う埋蔵文化財発掘調査報告書
B010182,（財）北海道埋蔵文化財センター,ほっかいどうまいぞうぶんかざいせんたー,1988,a,,石川１遺跡 : 一般国道５号函館新道道路改良工事用地内埋蔵文化財発掘調査報告書
B010183,（財）北海道埋蔵文化財センター,ほっかいどうまいぞうぶんかざいせんたー,1988,b,,桔梗２遺跡 : 一般国道５号函館新道道路改良工事用地内埋蔵文化財発掘調査報告書
B010184,名取武光・松下亘,なとりたけみつ・まつしたわたる,1959,,余市郡赤井川村曲川遺跡調査報告（第一報）,北方文化研究報告14
B010185,名取武光・松下亘,なとりたけみつ・まつしたわたる,1961,a,,峠下遺跡
B010186,名取武光・松下亘,なとりたけみつ・まつしたわたる,1961,b,余市郡赤井川村曲川遺跡調査報告（第二報）,北方文化研究報告16
B010187,新岡武彦・佐藤和利,にいおかたけひこ・さとうかずとし,1977,,稚内市豊別遺跡群予報,北海道考古学13
B010188,西田茂・三浦正人ほか,にしだしげる・みうらまさと,1999,,,千歳市ユカンボシＣ15遺跡（２）
B010189,西幸隆,にしゆきたか,1991,,北海道釧路沖発見の有舌尖頭器について,釧路市立博物館紀要第16輯
B010190,野中一宏ほか,のなかかずひろ,1987,,,ペンケナイ川流域の遺跡群Ⅰ
B010191,野村崇,のむらたかし,1977,,旧石器時代の文化,石狩川中流域の先史遺跡
B010192,野村崇ほか,のむらたかし,1964,,栗山町の先史文化,栗山町の文化財
B010193,野村崇ほか,のむらたかし,1969,,,空知の文化財第１集 埋蔵文化財編
B010194,函館市教育委員会,はこだてしきょういくいいんかい,2008,,,桔梗町408番５・６における開発行為に係る埋蔵文化財発掘調査報告書
B010195,函館博物館,はこだてはくぶつかん,1956,,,樽岸発掘報告書
B010196,畑宏明,はたひろあき,1976,,貝塚１丁目出土の有舌尖頭器,釧路市立博物館館報No.237
B010197,畑宏明ほか,はたひろあき,1983,,,川上Ｂ遺跡
B010198,（財）北海道埋蔵文化財センター,ほっかいどうまいぞうぶんかざいせんたー,1985,a,,湯の里遺跡群 : 津軽海峡線(北海道方)建設工事埋蔵文化財発掘調査報告書
B010199,畑宏明・田原良信,はたひろあき・たはらよしのぶ,1975,,水口遺跡,日本の旧石器文化２
B010200,小野基・出穂雅実・髙倉純,おのもとし・いずほまさみ・たかくらじゅん,2002,,,豊岡７遺跡美幌町文化財調査報告ⅩⅤ
B010201,荒生健,あらおたけし,1988,a,,元町３遺跡美幌町文化財調査報告III
B010202,荒生健,あらおたけし,1988,b,,元町３遺跡美幌町文化財調査報告Ⅳ
B010203,荒生健志・小林敬,あらおたけし・こばやしたかし,1986,,,元町２遺跡美幌町文化財調査報告Ⅱ
B010204,荒生健,あらおたけし,1989,,,元町３遺跡美幌町文化財調査報告Ⅴ
B010205,平川善祥,ひらかわよしひろ,1995,,浜頓別の先史時代,浜頓別町史
B010206,福井淳一ほか,ふくいじゅんいち,1999,,,千歳市柏台１遺跡
B010207,福士廣士,ふくしひろし,1991,,小平町天瑞寺裏遺跡出土の峠下型細石核,留萌市海のふるさと館紀要２
B010208,藤本強,ふじもとつよし,1964,,北海道常呂郡留辺蘂町紅葉山遺跡発掘調査報告書,考古学雑誌第50巻第２号
B010209,藤本強,ふじもとつよし,1977,,K17ポイント周辺の石器群,岐阜第二遺跡－道営畑総事業に伴う事前調査報告－
B010210,北大調査団,ほくだいちょうさだん,1960,,白滝遺跡出土の遺物,北方文化研究報告15
B010211,北海道北見市,ほっかいどうきたみし,1979,,,北見市開成遺跡発掘調査報告書　－北見市開成１・3遺跡－
B010212,久保勝範・太田敏量・菅野友世,くぼかつのり・おおたとしかず・かんのともよ,1980,,,北見市広郷・開成遺跡発掘調査報告書　北見市広郷18・20遺跡　北見市開成２遺跡
B010213,宮宏明,みやひろあき,1988,,,北上台地遺跡II
B010214,太田敏量,おおたとしかず,2000,,,南丘４遺跡－北見ヶ丘霊園造成事業（Ｎ墓域）に伴う発掘調査報告書－
B010215,北海道教育委員会,ほっかいどうきょういくいいんかい,1979,,,美沢川流域の遺跡群Ⅲ
B010216,（財）北海道埋蔵文化財センター,ほっかいどうまいぞうぶんかざいせんたー,1986,,,湯の里3遺跡 : 津軽海峡線(北海道方)建設工事埋蔵文化財発掘調査報告書２
B010217,（財）北海道埋蔵文化財センター,ほっかいどうまいぞうぶんかざいせんたー,1987,,,（財）北海道埋蔵文化財センター調査報告書第40集　嵐山２遺跡
B010218,（財）北海道埋蔵文化財センター,ほっかいどうまいぞうぶんかざいせんたー,1988,c,,新道４遺跡 : 津軽海峡線(北海道方)建設工事埋蔵文化財発掘調査報告書５
B010219,（財）北海道埋蔵文化財センター,ほっかいどうまいぞうぶんかざいせんたー,1989,,,（財）北海道埋蔵文化財センター調査報告書第60集　納内３遺跡
B010220,（財）北海道埋蔵文化財センター,ほっかいどうまいぞうぶんかざいせんたー,1992,a,,清水町上清水２遺跡・共栄３遺跡（２）・東松沢２遺跡　芽室町北明１遺跡
B010221,（財）北海道埋蔵文化財センター,ほっかいどうまいぞうぶんかざいせんたー,1992,b,,（財）北海道埋蔵文化財センター調査報告書第76集　滝里遺跡群II
B010222,（財）北海道埋蔵文化財センター,ほっかいどうまいぞうぶんかざいせんたー,1994,,,（財）北海道埋蔵文化財センター調査報告書第85集　滝里遺跡群Ⅳ
B010223,（財）北海道埋蔵文化財センター,ほっかいどうまいぞうぶんかざいせんたー,1999,,,赤井川村都遺跡
